Rank,Feature_Index,Feature_Name,ManiFeSt_Score
1,354,hsa05332,1.0415356086767842
2,335,hsa05217,0.8233467613417089
3,40,hsa00512,0.6952227008503978
4,103,hsa03018,0.5696510943464184
5,42,hsa00514,0.5590424546266565
6,275,hsa04978,0.5266032184805095
7,89,hsa01230,0.52614426747604
8,60,hsa00601,0.46227058669063015
9,154,hsa04140,0.4122975409819337
10,359,hsa05415,0.39355391959793673
11,98,hsa02010,0.38517711518482517
12,357,hsa05412,0.3630976733257045
13,232,hsa04814,0.35180504482789826
14,322,hsa05203,0.3426773105888622
15,134,hsa04024,0.34103829508935035
16,193,hsa04612,0.33653754279589027
17,353,hsa05330,0.31183095839761926
18,96,hsa01523,0.30493778860635745
19,150,hsa04122,0.2918505867454011
20,195,hsa04614,0.28493506624844317
21,236,hsa04912,0.2794243009104811
22,18,hsa00240,0.27933264139235636
23,214,hsa04710,0.278576800087611
24,350,hsa05321,0.27627805352231527
25,57,hsa00591,0.27133351845849774
26,266,hsa04964,0.26754374446644896
27,20,hsa00260,0.2668295217492433
28,160,hsa04148,0.2641214657392791
29,46,hsa00531,0.26400776410997656
30,162,hsa04151,0.2635021350755581
31,205,hsa04658,0.25598175208890117
32,85,hsa01100,0.2557388715277741
33,258,hsa04934,0.24842531296750225
34,65,hsa00640,0.24572337846843648
35,290,hsa05034,0.2448561179945478
36,283,hsa05017,0.2445437514295789
37,52,hsa00562,0.24145261473508306
38,318,hsa05170,0.24074536457711532
