Rank,Feature_Index,Feature_Name,ManiFeSt_Score
1,236,hsa04912,0.9003891303596763
2,301,hsa05142,0.6327026965133368
3,192,hsa04611,0.5728402340968413
4,96,hsa01523,0.5260402489745932
5,18,hsa00240,0.4597052590462296
6,275,hsa04978,0.4351808674733933
7,324,hsa05205,0.43044045548800547
8,20,hsa00260,0.42892822335802194
9,240,hsa04916,0.4249693962818841
10,114,hsa03264,0.4167324408979027
11,307,hsa05152,0.4041663410239885
12,134,hsa04024,0.37857628768397333
13,68,hsa00730,0.37055270489945435
14,48,hsa00533,0.36886234923666106
15,60,hsa00601,0.3644862596738192
16,50,hsa00541,0.36219393001482875
17,177,hsa04350,0.3598947988995943
18,193,hsa04612,0.35779757100232906
19,203,hsa04650,0.3565324508830783
20,318,hsa05170,0.3565262661403895
21,31,hsa00410,0.3495840849737604
22,339,hsa05221,0.3480754319671685
23,303,hsa05144,0.33879271710646996
24,306,hsa05150,0.33790852543403677
25,283,hsa05017,0.3376627774948946
26,127,hsa03460,0.3350434512147751
27,27,hsa00350,0.3289395212639757
28,128,hsa04010,0.32759267768597516
29,199,hsa04623,0.32330059388392623
30,8,hsa00062,0.3115423448766822
31,201,hsa04630,0.31052221831953586
32,204,hsa04657,0.3071015222882634
33,359,hsa05415,0.30490557306420824
34,308,hsa05160,0.3041542128921526
35,296,hsa05132,0.30401246581498687
36,202,hsa04640,0.3024976550412637
37,351,hsa05322,0.2994589985511086
38,299,hsa05135,0.2990831864159803
39,342,hsa05224,0.2971543104281722
