Rank,Feature_Index,Feature_Name,ManiFeSt_Score
1,42,hsa00514,0.8692470632080973
2,60,hsa00601,0.8309867811646349
3,40,hsa00512,0.7774586525818246
4,103,hsa03018,0.6896214050425502
5,258,hsa04934,0.6867050182331579
6,108,hsa03050,0.6266257400951525
7,91,hsa01240,0.6100566079510281
8,182,hsa04390,0.6069914955133506
9,321,hsa05202,0.5712809593382828
10,359,hsa05415,0.5711181026417801
11,204,hsa04657,0.5411438077507834
12,175,hsa04330,0.5215456244140209
13,126,hsa03450,0.48326362586123645
14,236,hsa04912,0.4722526135269722
15,316,hsa05168,0.47061197364745766
16,215,hsa04713,0.43325780989455787
17,194,hsa04613,0.4287307869016418
18,18,hsa00240,0.4265253841348352
19,35,hsa00470,0.41768327497279567
20,246,hsa04922,0.4175535559147472
21,333,hsa05215,0.4143922331112321
22,1,hsa00020,0.40888954248527565
23,266,hsa04964,0.40150819942973603
24,127,hsa03460,0.3998018531370609
25,34,hsa00450,0.398017669618423
26,297,hsa05133,0.39633888535074835
27,238,hsa04914,0.3962279219923571
28,133,hsa04022,0.39309918114555326
29,324,hsa05205,0.3904061278201927
30,307,hsa05152,0.38479742076836065
31,337,hsa05219,0.3846234318568088
32,56,hsa00590,0.3826750211878785
33,328,hsa05210,0.38212163401690913
34,139,hsa04066,0.3775667628609401
35,193,hsa04612,0.37300515867598605
36,159,hsa04146,0.37226456410454895
37,283,hsa05017,0.3707532948078592
38,114,hsa03264,0.369769239422428
