Rank,Feature_Index,Feature_Name,ManiFeSt_Score
1,283,hsa05017,0.7261653084279436
2,60,hsa00601,0.6441656236453236
3,321,hsa05202,0.6142585061930024
4,35,hsa00470,0.585725092269076
5,91,hsa01240,0.580892086973377
6,57,hsa00591,0.5617222950880614
7,42,hsa00514,0.5325442449233547
8,305,hsa05146,0.5000290946925695
9,34,hsa00450,0.49604117226469346
10,108,hsa03050,0.49525449572067104
11,207,hsa04660,0.4855680877791793
12,184,hsa04510,0.46746887492216826
13,75,hsa00830,0.4657524996507286
14,215,hsa04713,0.4647919423610918
15,145,hsa04081,0.45254833696923213
16,319,hsa05171,0.4476565517271336
17,173,hsa04270,0.44553703887238266
18,247,hsa04923,0.44134594010109196
19,27,hsa00350,0.4290865068025951
20,197,hsa04621,0.418779788013254
21,277,hsa04980,0.4112160103495842
22,47,hsa00532,0.4110827331557138
23,150,hsa04122,0.4107847809885593
24,124,hsa03430,0.408980109080655
25,303,hsa05144,0.4034747780242929
26,7,hsa00061,0.39842290582748907
27,158,hsa04145,0.3951805577268841
28,246,hsa04922,0.3904524439182346
29,307,hsa05152,0.386142737736356
30,206,hsa04659,0.38466096445586506
31,64,hsa00630,0.38361309492981643
32,312,hsa05164,0.3783669174853197
33,43,hsa00515,0.3770316959780703
34,293,hsa05120,0.37576869942890645
35,92,hsa01250,0.37511412764840824
36,14,hsa00190,0.3719123137819746
37,273,hsa04975,0.36732327134698683
38,40,hsa00512,0.3670923803157641
