Rank,Feature_Index,Feature_Name,ManiFeSt_Score
1,60,hsa00601,0.8408998528524354
2,236,hsa04912,0.701107642534383
3,307,hsa05152,0.5981193880914143
4,57,hsa00591,0.5679247251926042
5,48,hsa00533,0.541708313529969
6,108,hsa03050,0.5331888157556858
7,42,hsa00514,0.5157512094518495
8,321,hsa05202,0.5136317454467825
9,18,hsa00240,0.49200452270725226
10,206,hsa04659,0.49078954911686845
11,175,hsa04330,0.4860125877862882
12,34,hsa00450,0.4856234748304899
13,283,hsa05017,0.48383776640553444
14,35,hsa00470,0.4777604583126931
15,177,hsa04350,0.4761855658693298
16,133,hsa04022,0.4744940721873346
17,324,hsa05205,0.47406529299182987
18,247,hsa04923,0.46433739897470805
19,91,hsa01240,0.4628749541884547
20,313,hsa05165,0.4515197523634455
21,158,hsa04145,0.44757686060898244
22,335,hsa05217,0.4441813389244026
23,319,hsa05171,0.41331125463573226
24,342,hsa05224,0.4119353874708262
25,347,hsa05235,0.41090847241631095
26,110,hsa03082,0.4033635498672455
27,306,hsa05150,0.4009292288327805
28,339,hsa05221,0.40087691126164504
29,213,hsa04672,0.39143710959480665
30,182,hsa04390,0.3904258155627003
31,173,hsa04270,0.3892513861276201
32,305,hsa05146,0.385598301554736
