ncbi_gene_id,ensembl_gene_id,hgnc_symbol,gene_name,ucsc_id,alias
390323,ENSG00000187857,OR6C75,OR6C75,uc285kgj.1,OR6C75
390326,ENSG00000185821,OR6C76,OR6C76,uc010spm.2,OR6C76
390327,ENSG00000184954,OR6C70,OR6C70,uc010spn.2,OR6C70
390429,ENSG00000176294,OR4N2,OR4N2,uc058yqt.1,OR14-13
390431,ENSG00000291804,OR4K2,OR4K2,,OR14-15
390432,ENSG00000292258,OR4Q2,OR4Q2,,OR4Q2P
390433,ENSG00000291806,OR4K13,OR4K13,,OR14-27
390436,ENSG00000291811,OR4K17,OR4K17,,OR14-29
390437,ENSG00000291808,OR4N5,OR4N5,,OR4N5
390439,ENSG00000291810,OR11G2,OR11G2,,OR14-34
390441,ENSG00000291780,OR11H7,OR11H7,,OR11H7P
390442,ENSG00000291809,OR11H4,OR11H4,,OR14-36
390443,ENSG00000188655,RNASE9,RNASE9,uc010ahu.3,HEL128
390445,ENSG00000169327,OR5AU1,OR5AU1,uc285lgy.1,OR14-38
390502,ENSG00000274821,SERPINA2,SERPINA2,,ARGS
390535,ENSG00000278429,GOLGA8EP,GOLGA8EP,,GOLGA8E
390538,ENSG00000288194,OR4M2,OR4M2,,OR15-3
390539,ENSG00000259435,OR4N3P,OR4N3P,uc286lak.1,OR15-2
390594,ENSG00000234438,KBTBD13,KBTBD13,uc010uis.5,HCG1645727
390595,ENSG00000246922,UBAP1L,UBAP1L,uc002aok.5,UBAP-1L
390598,ENSG00000188779,SKOR1,SKOR1,uc059kqi.1,CORL1
390616,ENSG00000235711,ANKRD34C,ANKRD34C,uc059mho.2,ANKRD34C
390637,ENSG00000183208,GDPGP1,GDPGP1,uc059ned.1,C15orf58
390648,ENSG00000184140,OR4F6,OR4F6,uc010utr.4,OR15-15
390649,ENSG00000182854,OR4F15,OR4F15,uc010uts.4,OR4F15
390651,ENSG00000291191,OR4F13P,OR4F13P,uc286lxz.1,GPCRLTM7
390664,ENSG00000184471,C1QTNF8,C1QTNF8,uc010uuw.3,CTRP8
390667,ENSG00000251692,PTX4,PTX4,uc059oyb.2,C16orf38
390748,ENSG00000205022,PABPN1L,PABPN1L,uc010vpe.4,PABPNL1
390790,ENSG00000141748,ARL5C,ARL5C,uc010wea.4,ARL12
390792,ENSG00000262164,KRT39,KRT39,,CK-39
