Pathway_ID	Pathway_Type
hsa01100	Metabolism
hsa01110	Metabolism
hsa01120	Metabolism
hsa01200	Metabolism
hsa01210	Metabolism
hsa01212	Metabolism
hsa01230	Metabolism
hsa01232	Metabolism
hsa01250	Metabolism
hsa01240	Metabolism
hsa01220	Metabolism
hsa01310	Metabolism
hsa01320	Metabolism
hsa00010	Metabolism
hsa00020	Metabolism
hsa00030	Metabolism
hsa00040	Metabolism
hsa00051	Metabolism
hsa00052	Metabolism
hsa00053	Metabolism
hsa00500	Metabolism
hsa00620	Metabolism
hsa00630	Metabolism
hsa00640	Metabolism
hsa00650	Metabolism
hsa00660	Metabolism
hsa00562	Metabolism
hsa00190	Metabolism
hsa00195	Metabolism
hsa00196	Metabolism
hsa00710	Metabolism
hsa00720	Metabolism
hsa00680	Metabolism
hsa00910	Metabolism
hsa00920	Metabolism
hsa00061	Metabolism
hsa00062	Metabolism
hsa00071	Metabolism
hsa00073	Metabolism
hsa00074	Metabolism
hsa00100	Metabolism
hsa00120	Metabolism
hsa00121	Metabolism
hsa00140	Metabolism
hsa00561	Metabolism
hsa00564	Metabolism
hsa00565	Metabolism
hsa00600	Metabolism
hsa00590	Metabolism
hsa00591	Metabolism
hsa00592	Metabolism
hsa01040	Metabolism
hsa00230	Metabolism
hsa00240	Metabolism
hsa00250	Metabolism
hsa00260	Metabolism
hsa00270	Metabolism
hsa00280	Metabolism
hsa00290	Metabolism
hsa00300	Metabolism
hsa00310	Metabolism
hsa00220	Metabolism
hsa00330	Metabolism
hsa00340	Metabolism
hsa00350	Metabolism
hsa00360	Metabolism
hsa00380	Metabolism
hsa00400	Metabolism
hsa00410	Metabolism
hsa00430	Metabolism
hsa00440	Metabolism
hsa00450	Metabolism
hsa00460	Metabolism
hsa00470	Metabolism
hsa00480	Metabolism
hsa00520	Metabolism
hsa00541	Metabolism
hsa00510	Metabolism
hsa00513	Metabolism
hsa00512	Metabolism
hsa00515	Metabolism
hsa00514	Metabolism
hsa00532	Metabolism
hsa00534	Metabolism
hsa00533	Metabolism
hsa00531	Metabolism
hsa00563	Metabolism
hsa00601	Metabolism
hsa00603	Metabolism
hsa00604	Metabolism
hsa00511	Metabolism
hsa00540	Metabolism
hsa00542	Metabolism
hsa00550	Metabolism
hsa00552	Metabolism
hsa00571	Metabolism
hsa00572	Metabolism
hsa00543	Metabolism
hsa00730	Metabolism
hsa00740	Metabolism
hsa00750	Metabolism
hsa00760	Metabolism
hsa00770	Metabolism
hsa00780	Metabolism
hsa00785	Metabolism
hsa00790	Metabolism
hsa00670	Metabolism
hsa00830	Metabolism
hsa00860	Metabolism
hsa00130	Metabolism
hsa00900	Metabolism
hsa00902	Metabolism
hsa00909	Metabolism
hsa00904	Metabolism
hsa00906	Metabolism
hsa00905	Metabolism
hsa00981	Metabolism
