Pathway_ID	Pathway_Type
hsa04630	Organismal Systems
hsa04640	Organismal Systems
hsa04650	Organismal Systems
hsa04657	Organismal Systems
hsa04658	Organismal Systems
hsa04659	Organismal Systems
hsa04660	Organismal Systems
hsa04662	Organismal Systems
hsa04664	Organismal Systems
hsa04666	Organismal Systems
hsa04668	Organismal Systems
hsa04670	Organismal Systems
hsa04672	Organismal Systems
hsa04710	Organismal Systems
hsa04713	Organismal Systems
hsa04714	Organismal Systems
hsa04720	Organismal Systems
hsa04721	Organismal Systems
hsa04722	Organismal Systems
hsa04723	Organismal Systems
hsa04724	Organismal Systems
hsa04725	Organismal Systems
hsa04726	Organismal Systems
hsa04727	Organismal Systems
hsa04728	Organismal Systems
hsa04730	Organismal Systems
hsa04740	Organismal Systems
hsa04742	Organismal Systems
hsa04744	Organismal Systems
hsa04750	Organismal Systems
hsa04810	Organismal Systems
hsa04814	Organismal Systems
hsa04820	Organismal Systems
hsa04910	Organismal Systems
hsa04911	Organismal Systems
hsa04912	Organismal Systems
hsa04913	Organismal Systems
hsa04914	Organismal Systems
hsa04915	Organismal Systems
hsa04916	Organismal Systems
hsa04917	Organismal Systems
hsa04918	Organismal Systems
hsa04919	Organismal Systems
hsa04920	Organismal Systems
hsa04921	Organismal Systems
hsa04922	Organismal Systems
hsa04923	Organismal Systems
hsa04924	Organismal Systems
hsa04925	Organismal Systems
hsa04926	Organismal Systems
hsa04927	Organismal Systems
hsa04928	Organismal Systems
hsa04929	Organismal Systems
hsa04930	Organismal Systems
hsa04931	Organismal Systems
hsa04932	Organismal Systems
hsa04933	Organismal Systems
hsa04934	Organismal Systems
hsa04935	Organismal Systems
hsa04936	Organismal Systems
hsa04940	Organismal Systems
hsa04950	Organismal Systems
hsa04960	Organismal Systems
hsa04961	Organismal Systems
hsa04962	Organismal Systems
hsa04964	Organismal Systems
hsa04966	Organismal Systems
hsa04970	Organismal Systems
hsa04971	Organismal Systems
hsa04972	Organismal Systems
hsa04973	Organismal Systems
hsa04974	Organismal Systems
hsa04975	Organismal Systems
hsa04976	Organismal Systems
hsa04978	Organismal Systems
hsa04979	Organismal Systems
hsa04980	Organismal Systems
hsa04981	Organismal Systems
hsa05010	Human Diseases
hsa05012	Human Diseases
hsa05014	Human Diseases
hsa05016	Human Diseases
hsa05017	Human Diseases
hsa05020	Human Diseases
hsa05022	Human Diseases
hsa05030	Human Diseases
hsa05031	Human Diseases
hsa05032	Human Diseases
hsa05033	Human Diseases
hsa05034	Human Diseases
hsa05100	Human Diseases
hsa05110	Human Diseases
hsa05120	Human Diseases
hsa05130	Human Diseases
