"Sample_ID","Pseudotime","State","Cluster","Tissue_Type"
"TCGA-55-7995-01A",31.8202127992813,"2","NA","Tumor"
"TCGA-55-7903-01A",31.9486510416189,"2","NA","Tumor"
"TCGA-50-5946-01A",31.9615577652256,"7","NA","Tumor"
"TCGA-78-7148-01A",32.1211934816185,"2","NA","Tumor"
"TCGA-05-4417-01A",32.1309182183314,"2","NA","Tumor"
"TCGA-55-A48Y-01A",32.4741925838349,"7","NA","Tumor"
"TCGA-55-7910-01A",32.9623749028545,"7","NA","Tumor"
"TCGA-95-A4VN-01A",32.994649158587,"2","NA","Tumor"
"TCGA-L9-A7SV-01A",33.0300341751664,"2","NA","Tumor"
"TCGA-69-7760-01A",33.173649603582,"7","NA","Tumor"
"TCGA-91-6830-01A",33.7648174691533,"2","NA","Tumor"
"TCGA-05-4396-01A",33.7699227326921,"2","NA","Tumor"
"TCGA-55-8203-01A",33.8013355463979,"2","NA","Tumor"
"TCGA-62-8399-01A",33.8126322860975,"2","NA","Tumor"
"TCGA-62-A470-01A",33.928659099036,"2","NA","Tumor"
"TCGA-99-8032-01A",33.9551860296667,"2","NA","Tumor"
"TCGA-75-6207-01A",34.3336058970707,"7","NA","Tumor"
"TCGA-55-6982-01A",34.6106885026344,"2","NA","Tumor"
"TCGA-50-5049-01A",34.6677157328754,"2","NA","Tumor"
"TCGA-97-7554-01A",34.6784426459761,"2","NA","Tumor"
"TCGA-50-5930-01A",34.6815866533951,"2","NA","Tumor"
"TCGA-75-5122-01A",34.6957970550078,"2","NA","Tumor"
"TCGA-44-8117-01A",34.7273578296052,"2","NA","Tumor"
"TCGA-55-6971-01A",34.7761587051692,"2","NA","Tumor"
"TCGA-55-6979-01A",34.7815316319089,"2","NA","Tumor"
"TCGA-44-6774-01A",34.923415047608,"2","NA","Tumor"
"TCGA-55-A494-01A",34.9243849632624,"2","NA","Tumor"
"TCGA-55-6712-01A",34.9532174616456,"2","NA","Tumor"
"TCGA-05-4410-01A",35.0055304362642,"2","NA","Tumor"
"TCGA-86-6851-01A",35.0106594941323,"2","NA","Tumor"
"TCGA-62-A46U-01A",35.0203027542596,"2","NA","Tumor"
"TCGA-NJ-A4YQ-01A",35.0641990049339,"2","NA","Tumor"
"TCGA-L9-A8F4-01A",35.0924554131575,"2","NA","Tumor"
"TCGA-44-A47B-01A",35.1877443692658,"2","NA","Tumor"
"TCGA-38-6178-01A",35.2235306852846,"2","NA","Tumor"
"TCGA-J2-8194-01A",35.2844583729447,"2","NA","Tumor"
"TCGA-69-7974-01A",35.3133256545033,"2","NA","Tumor"
"TCGA-50-6673-01A",35.3344304231905,"2","NA","Tumor"
"TCGA-62-8402-01A",36.2228595893863,"7","NA","Tumor"
"TCGA-75-6214-01A",36.2948577276955,"7","NA","Tumor"
"TCGA-55-6969-01A",36.9232162300544,"7","NA","Tumor"
"TCGA-93-A4JQ-01A",36.9598612013155,"2","NA","Tumor"
"TCGA-69-7764-01A",37.0565428960904,"2","NA","Tumor"
"TCGA-05-5425-01A",37.067469227112,"7","NA","Tumor"
"TCGA-91-6848-01A",37.1186894711034,"7","NA","Tumor"
"TCGA-55-A493-01A",37.1459342615967,"7","NA","Tumor"
"TCGA-50-6595-01A",37.1555561772767,"7","NA","Tumor"
"TCGA-L9-A5IP-01A",37.1733828532921,"7","NA","Tumor"
"TCGA-75-5147-01A",37.2282891135026,"7","NA","Tumor"
"TCGA-55-6975-01A",37.2928372991017,"7","NA","Tumor"
"TCGA-86-8358-01A",37.4422985004306,"7","NA","Tumor"
"TCGA-75-7027-01A",37.5437768224584,"7","NA","Tumor"
"TCGA-91-6831-01A",37.5523250155454,"7","NA","Tumor"
"TCGA-86-7711-01A",37.5545939787416,"7","NA","Tumor"
"TCGA-55-6968-01A",37.5701904826058,"7","NA","Tumor"
"TCGA-50-6590-01A",37.5707568532476,"7","NA","Tumor"
"TCGA-75-6211-01A",37.599481035836,"7","NA","Tumor"
"TCGA-78-7220-01A",37.6466907830947,"7","NA","Tumor"
"TCGA-64-5775-01A",37.6821001793527,"7","NA","Tumor"
"TCGA-44-7670-01A",37.6834200021586,"7","NA","Tumor"
"TCGA-91-6847-01A",37.7500079606711,"7","NA","Tumor"
"TCGA-95-7562-01A",37.7577480606923,"7","NA","Tumor"
"TCGA-86-8054-01A",37.7739613369061,"7","NA","Tumor"
"TCGA-78-7542-01A",37.7844183477621,"7","NA","Tumor"
"TCGA-99-8033-01A",37.7989568604822,"7","NA","Tumor"
"TCGA-78-7150-01A",37.8061483294967,"7","NA","Tumor"
"TCGA-50-5931-01A",37.8175745451405,"7","NA","Tumor"
"TCGA-80-5611-01A",37.8263805858776,"7","NA","Tumor"
"TCGA-78-7154-01A",37.8582607016953,"7","NA","Tumor"
"TCGA-44-5644-01A",37.8656708900188,"7","NA","Tumor"
"TCGA-73-4676-01A",37.8756662468084,"7","NA","Tumor"
"TCGA-55-8620-01A",37.9177555605432,"7","NA","Tumor"
"TCGA-50-5072-01A",37.9700188736572,"7","NA","Tumor"
"TCGA-64-5774-01A",37.978616675264,"7","NA","Tumor"
"TCGA-78-7146-01A",37.9920097430817,"7","NA","Tumor"
"TCGA-50-6594-01A",38.0418650317614,"7","NA","Tumor"
"TCGA-50-6591-01A",38.0440521866522,"7","NA","Tumor"
"TCGA-MP-A4TA-01A",38.0708713340018,"7","NA","Tumor"
"TCGA-05-4390-01A",38.0937222445729,"7","NA","Tumor"
"TCGA-53-7624-01A",38.116863165662,"7","NA","Tumor"
"TCGA-78-8640-01A",38.145623173787,"7","NA","Tumor"
"TCGA-78-7536-01A",38.1536717990784,"7","NA","Tumor"
"TCGA-44-5643-01A",38.2302328329024,"7","NA","Tumor"
"TCGA-05-5420-01A",38.2631485212748,"7","NA","Tumor"
"TCGA-44-7660-01A",38.2941965358158,"7","NA","Tumor"
"TCGA-55-7913-01B",38.2963564791693,"7","NA","Tumor"
"TCGA-73-7499-01A",38.3737107691786,"7","NA","Tumor"
"TCGA-86-6562-01A",38.4122414425809,"2","NA","Tumor"
"TCGA-73-A9RS-01A",38.4454611021736,"7","NA","Tumor"
"TCGA-49-6767-01A",38.4506358969544,"7","NA","Tumor"
"TCGA-95-7043-01A",38.4524232468038,"7","NA","Tumor"
"TCGA-55-5899-01A",38.5459507205897,"7","NA","Tumor"
"TCGA-91-6836-01A",38.6896711337048,"7","NA","Tumor"
"TCGA-53-A4EZ-01A",38.7673072096576,"7","NA","Tumor"
"TCGA-86-7955-01A",38.8884007248124,"7","NA","Tumor"
"TCGA-05-4415-01A",38.9215594950395,"7","NA","Tumor"
"TCGA-49-AAR9-01A",39.0845744292345,"7","NA","Tumor"
